Energy Consumption (kWh),Raw Materials Used (tons),CO2 Emissions (tons),CH4 Emissions (tons),N2O Emissions (tons),Particulate Matter (kg),Flow Rate (m³/s),Temperature (°C),Pressure (Pa),Gas Sensor Readings (ppm),Emission Factor,Carbon Intensity (kg CO2/ton of steel),CO2 Capture (tons),Carbon Credits (tons)
134104,685,1507.276278,43,3,26,12,1530,104567,1292.082833,1.985999458,1630,121,1149.821023
125969,473,1318.05786,55,2,16,7,1526,86973,1094.954875,2.08491896,2286,50,1004.446288
144913,520,1343.237174,77,1,34,13,1529,95445,1136.801913,2.223056405,1571,64,1014.58974
138720,405,819.193762,47,2,14,13,1419,103653,902.8789225,2.555285986,1531,123,575.3550096
108856,423,771.8486153,58,2,39,14,1438,98841,933.4332346,2.008602145,1896,50,538.4788922
98481,593,1369.487823,21,4,24,11,1539,90389,1579.028839,1.985170616,2381,127,1033.590258
124657,567,1969.572381,62,3,11,10,1588,91183,1918.562077,2.568468727,2109,101,1502.657905
78612,609,1444.180944,24,3,20,13,1435,103936,1464.833563,2.28467513,2097,90,1088.344755
137743,532,1594.709515,47,3,39,10,1491,94946,1690.530375,2.38821605,1769,112,1213.767612
60795,691,1115.237412,32,3,26,7,1408,97230,1159.81715,2.463756584,2435,95,826.1899299
67564,573,1293.680166,55,4,33,10,1443,89617,1596.707116,1.865432249,1926,70,939.9441328
98603,550,1463.355341,28,1,22,6,1474,86698,1746.29003,2.187850644,1618,114,1073.684273
91999,487,1462.165404,58,2,13,6,1452,98975,1128.455527,1.912081742,1668,140,1090.732323
116637,665,1700.250264,49,2,33,11,1429,87352,1985.69325,2.299451059,2359,101,1292.200211
50513,469,1186.847222,76,1,27,12,1514,100785,957.8218842,2.562985652,1966,80,888.4777776
115015,604,1828.79955,46,2,38,11,1465,99537,2002.727108,1.84500281,1570,120,1388.03964
61324,431,916.5540123,32,4,23,9,1437,91705,818.3223419,2.01928375,1389,131,666.2432099
65491,442,743.0997005,61,3,28,8,1437,93411,844.6752627,2.599745228,2061,85,533.4797604
129229,517,1134.453587,58,3,12,12,1560,101310,855.7218801,1.804389995,2334,73,814.5628696
131459,414,752.648883,69,4,13,13,1598,100514,708.3448859,1.911644737,2403,87,503.1191064
84600,514,1763.990642,47,3,34,11,1454,103016,1341.975563,1.864617029,1795,148,1320.192513
114179,419,1112.454677,37,2,18,5,1475,91467,1364.720474,2.411250643,2182,117,838.9637414
60872,577,1380.876898,53,1,30,8,1515,93802,1046.266205,2.400743476,1283,51,1035.701518
93058,661,2197.232583,40,1,32,8,1484,99675,1818.528492,2.422067852,2013,148,1702.786066
122673,478,1577.745486,20,2,23,14,1422,92557,1608.726716,2.419885038,1587,131,1212.196389
61358,519,1209.993776,64,1,38,7,1597,98115,1298.414738,2.468176224,1773,115,892.9950205
121343,425,1381.018258,42,1,39,8,1541,97434,1539.138813,2.41830335,1582,140,1048.814606
76503,421,685.4098357,53,3,34,13,1495,88184,598.6720269,2.186837151,1849,106,467.3278686
130395,600,1962.862974,55,2,26,5,1448,91076,1767.553207,2.396387518,1332,112,1488.29038
111794,463,982.1003474,28,4,38,6,1512,100888,854.3796224,2.278093194,2063,120,726.680278
102268,613,1612.339921,27,1,11,11,1513,91530,1406.019118,2.093218059,1857,90,1195.871936
97905,692,1411.248999,77,2,23,13,1444,88437,1610.088983,2.469259713,2312,144,1038.999199
112668,477,1654.998778,69,4,31,11,1554,104489,2025.717508,2.430431747,1966,147,1259.999022
72234,615,1010.78938,49,4,25,5,1495,93253,1059.207674,1.938793166,1408,56,728.6315036
126615,623,1491.406287,67,3,28,11,1594,85890,1235.951202,1.819542768,2484,106,1120.12503
106750,427,1170.823884,55,3,25,10,1448,98565,916.4230683,2.052779873,1554,94,858.6591074
80975,600,1638.734703,55,1,20,5,1401,90246,1425.024499,2.123013998,1689,142,1243.987762
119879,466,1387.522819,37,2,37,5,1587,88921,1163.989017,1.939486047,2474,57,1054.018255
120164,525,1548.136093,21,2,36,6,1593,94531,1608.916818,2.484101018,1811,146,1155.508874
138104,594,1833.253534,72,3,23,10,1502,97686,2014.682081,1.826864469,2498,52,1403.602827
78106,573,1127.993371,30,3,16,8,1458,104244,848.5842138,2.186895135,1862,81,833.394697
124517,486,1089.132312,71,3,14,8,1459,87378,1056.251605,1.844381923,1524,132,793.3058493
149604,553,1252.028626,75,1,35,10,1421,90358,1329.0154,2.229309791,2192,117,915.622901
117778,609,2077.712707,55,2,17,13,1488,87082,1758.654663,2.170919392,1438,59,1571.170166
108438,412,955.2729702,50,1,38,5,1505,102790,1146.79127,2.424121756,2258,67,684.2183762
98397,563,1094.324731,50,2,26,6,1573,100004,1121.142401,2.351740008,1514,132,807.459785
100510,654,1808.10651,43,3,39,12,1452,96949,1668.337868,2.47516429,1838,102,1374.485208
86424,463,1090.149163,65,1,34,12,1418,104141,827.7914752,2.235477216,1556,125,816.1193305
99459,475,950.07606,40,4,23,10,1448,94938,942.6212238,2.457949694,2309,60,705.060848
149754,421,1233.644069,51,1,36,10,1416,92368,1132.451968,2.375308422,1914,81,902.9152556
101275,459,864.6874131,68,1,19,12,1526,99963,1067.692797,2.423600698,2272,55,613.7499305
104034,455,1258.852177,49,4,31,6,1554,88567,1182.537388,2.280541706,1673,87,945.0817416
118378,567,1338.721825,76,4,21,6,1418,103508,1620.527733,2.375660936,1496,104,982.9774599
66017,604,1291.553935,27,3,14,5,1429,90337,1411.703572,2.121371972,2328,77,959.2431476
129372,658,2231.912664,52,4,17,10,1477,103805,1756.47404,1.867985645,1760,75,1702.530131
129722,590,1267.800859,79,4,37,10,1573,101436,1542.102556,2.133268305,2294,121,946.2406874
84432,454,996.5366957,70,1,21,10,1505,86734,831.3350395,1.938720321,1663,123,744.2293566
72757,683,2213.792005,70,1,13,6,1463,99098,2156.2595,2.303503419,1795,135,1698.033604
97188,663,1165.611499,72,3,37,11,1431,93034,1412.140675,2.010593881,1373,147,850.4891993
81116,658,1129.218475,58,4,22,7,1580,88466,1314.698191,2.566513198,1963,135,811.3747796
86716,488,1007.922797,20,2,34,5,1550,97882,1001.664501,2.016954932,2138,71,755.3382378
108738,621,1666.311817,52,1,30,5,1435,85927,1422.130934,1.87850616,1413,55,1282.049453
70456,488,1107.076956,61,3,26,13,1409,89344,1112.203303,2.504498754,1902,144,822.661565
53634,458,1244.435904,32,1,33,7,1458,99733,1274.074868,2.131529056,1906,85,896.5487236
99366,551,1002.545195,41,1,34,12,1501,97941,1251.645905,2.084629299,1354,60,742.0361563
70856,427,863.7790248,24,2,30,14,1517,94638,1003.724739,2.50831069,1206,131,608.0232199
117995,624,1641.322593,31,3,38,11,1556,87699,1937.84149,2.322763796,2204,83,1226.058074
147055,450,870.434282,79,2,14,6,1410,101251,1082.031383,2.225737295,2346,52,619.3474256
110615,662,1552.793331,48,2,15,6,1565,98232,1570.898395,2.061703048,2350,99,1154.234665
133126,678,1793.510521,22,3,18,8,1478,85339,1869.937823,2.033995319,1585,85,1363.808417
124137,445,1534.049303,70,4,14,6,1559,103805,1499.106894,2.263608996,1441,130,1136.239442
119005,505,838.1855245,55,2,11,9,1490,89980,681.2160249,2.201115702,1722,143,588.5484196
74791,683,1653.425495,66,4,12,14,1501,100633,1674.30555,2.020802218,2033,104,1235.740396
87615,423,969.7452328,64,1,20,11,1579,91400,1009.790321,1.947238502,2174,79,695.7961862
50348,406,1278.283895,30,3,19,6,1528,103947,1110.363502,2.454407612,2077,111,959.6271156
86419,402,1326.838884,45,3,12,13,1413,88339,1514.470028,2.35019752,1486,102,974.471107
52878,657,2177.315303,21,1,18,5,1530,99233,1768.505117,2.594634419,1757,99,1683.852243
61857,662,1489.68445,48,1,17,6,1429,94572,1491.173576,2.212640085,1525,144,1118.74756
94029,520,1096.841353,60,1,25,11,1558,89942,1186.076573,2.59551034,1428,81,799.4730822
135914,607,1455.752622,48,2,38,9,1528,87355,1131.797673,2.168661229,2205,132,1110.602098
113214,420,918.948497,63,2,38,5,1573,97130,1058.653163,2.227965424,2020,58,644.1587976
115538,539,1583.421357,55,2,31,8,1541,94863,1428.36814,1.967285633,2060,65,1178.737086
75658,679,1308.529484,77,2,30,12,1563,104163,1450.995113,1.919607289,2291,87,970.8235872
73267,688,1938.3493,38,2,35,9,1573,96957,1558.635638,2.552175596,1757,68,1493.67944
129889,605,2029.154915,29,4,11,6,1582,103922,2151.207172,2.584972551,2004,143,1545.323932
117053,442,910.4435956,30,4,34,13,1563,93830,936.4878013,2.23804776,1354,85,667.3548765
103998,517,1475.404898,26,2,19,5,1570,104069,1217.210953,2.017803159,1708,60,1123.323918
135499,404,721.9973862,32,3,33,5,1504,89075,767.0301304,2.561122255,2235,128,486.597909
128711,606,1056.117338,60,3,23,14,1442,99533,1157.147729,2.437398333,1387,137,754.8938703
101531,522,903.7328351,63,4,14,9,1542,102758,903.0560951,1.943846693,1216,112,652.9862681
103416,541,961.3874798,21,4,31,13,1437,90350,999.158839,2.038672538,1839,134,672.1099838
80367,631,1219.300066,49,3,34,10,1488,103110,1455.490412,1.803365236,2232,92,879.4400531
67232,563,1478.247138,41,3,10,9,1443,100452,1624.374096,2.26560197,2434,123,1124.59771
109048,434,1316.743543,72,3,22,10,1508,93848,1584.012634,2.22111698,1228,138,990.3948344
111437,410,719.0227594,20,4,13,10,1454,99351,737.8410065,1.931111157,2095,145,525.2182076
99357,474,1535.774164,46,4,30,13,1454,92980,1286.09803,2.071461272,1608,82,1148.619331
76468,699,2226.617366,26,3,18,13,1477,90315,1944.160696,2.551376454,2104,98,1716.293893
116056,597,1764.001304,20,4,25,9,1585,92049,1478.595211,2.319194871,1340,100,1323.201043
71497,663,1559.33065,77,2,37,8,1506,91607,1430.879657,2.490399677,2014,99,1171.46452
142463,623,936.4403146,44,3,30,5,1456,104346,925.9222873,2.470649255,1330,73,689.1522517
56258,521,1547.125069,67,1,30,10,1583,89913,1358.322816,2.536527564,1577,70,1186.700055
105959,473,1541.020893,23,3,37,11,1529,104259,1522.247214,1.833232556,2169,75,1152.816714
84902,427,926.8345653,49,4,37,11,1523,101963,863.9757564,2.009976693,1708,130,642.4676522
65454,570,1673.50582,27,1,28,5,1561,100486,1719.817805,2.132458435,1593,68,1265.804656
87606,615,998.8185657,68,1,33,10,1448,93351,963.1176805,2.312078125,2387,116,711.0548525
101627,500,1459.494871,40,3,23,12,1463,88572,1411.399267,2.286501387,2187,126,1115.595897
